mlp_delta_threshold,arc_challenge,arc_easy,boolq,hellaswag,openbookqa,piqa,winogrande,Avg_Accuracy,Attn_Sparsity,MLP_Sparsity
0.1,0.51,0.81,0.73,0.51,0.28,0.72,0.75,0.6157142857142857,0.0,0.08424701868861255
0.2,0.52,0.78,0.72,0.51,0.28,0.72,0.78,0.6157142857142858,0.0,0.16755115751711566
0.3,0.5,0.78,0.74,0.49,0.27,0.73,0.74,0.6071428571428571,0.0,0.24938705311288453
0.4,0.52,0.76,0.74,0.5,0.26,0.73,0.78,0.6128571428571429,0.0,0.3255806071300705
0.6,0.5,0.76,0.71,0.48,0.27,0.75,0.73,0.6,0.0,0.47207406492879583
0.7,0.48,0.69,0.71,0.5,0.28,0.74,0.73,0.5900000000000001,0.0,0.5397726130185556
0.8,0.41,0.7,0.75,0.5,0.24,0.74,0.67,0.5728571428571428,0.0,0.6022412352214813
0.9,0.35,0.61,0.71,0.47,0.22,0.7,0.61,0.5242857142857142,0.0,0.6557173400200783
1.0,0.32,0.53,0.64,0.43,0.21,0.68,0.59,0.48571428571428577,0.0,0.7037705460831011
1.1,0.34,0.47,0.69,0.4,0.17,0.64,0.57,0.4685714285714285,0.0,0.7443912133955486
1.2,0.25,0.38,0.66,0.34,0.18,0.57,0.52,0.41428571428571426,0.0,0.7808713139609118
1.3,0.25,0.39,0.66,0.35,0.14,0.57,0.52,0.4114285714285714,0.0,0.8115796555335549
1.4,0.21,0.34,0.66,0.28,0.15,0.58,0.45,0.3814285714285714,0.0,0.8422126373115094
1.5,0.21,0.38,0.65,0.23,0.12,0.55,0.38,0.35999999999999993,0.0,0.8678957914720754
1.6,0.2,0.39,0.43,0.24,0.1,0.54,0.5,0.3428571428571429,0.0,0.8881265030652564
1.7,0.2,0.29,0.36,0.25,0.08,0.54,0.53,0.32142857142857145,0.0,0.904197141844603
1.8,0.17,0.28,0.34,0.22,0.14,0.56,0.5,0.3157142857142857,0.0,0.9154791197705228
1.9,0.17,0.29,0.33,0.28,0.13,0.51,0.55,0.3228571428571429,0.0,0.9256162914498246
2.0,0.17,0.33,0.32,0.23,0.13,0.51,0.57,0.3228571428571429,0.0,0.9344520067774488
