row_delta_threshold,Metric,arc_challenge,arc_easy,boolq,commonsense_qa,hellaswag,mmlu,openbookqa,piqa,triviaqa,truthfulqa_mc2,winogrande,Average
Baseline,accuracy,0.52,0.8,0.75,0.64,0.51,0.531,0.28,0.72,0.0,0.472,0.78,0.546
Baseline,sparsity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baseline,total_avg_ms,0.599,0.638,0.553,0.591,0.608,0.575,0.637,0.619,0.633,0.537,0.644,0.603
Baseline,total_benchmark_time_s,37.407,36.523,28.153,27.786,42.013,355.094,36.076,30.634,102.251,64.312,31.904,72.014
15.0,accuracy,0.48,0.74,0.74,0.55,0.5,0.526,0.28,0.75,0.01,0.47,0.79,0.531
15.0,sparsity,0.437,0.343,0.572,0.428,0.546,0.522,0.358,0.348,0.335,0.555,0.546,0.453
15.0,total_avg_ms,1.472,1.565,1.545,1.421,1.472,1.5,1.273,1.465,0.661,1.63,1.504,1.41
15.0,total_benchmark_time_s,47.458,45.859,31.057,30.54,52.61,517.813,41.837,36.292,90.4,90.74,37.061,92.879
20.0,accuracy,0.42,0.69,0.72,0.31,0.45,0.391,0.26,0.75,0.0,0.439,0.67,0.464
20.0,sparsity,0.686,0.759,0.838,0.861,0.821,0.865,0.59,0.769,0.681,0.877,0.812,0.778
20.0,total_avg_ms,1.455,1.534,1.537,1.447,1.469,1.513,1.326,1.467,0.635,1.628,1.498,1.41
20.0,total_benchmark_time_s,46.717,47.18,31.126,30.524,52.344,520.791,42.481,35.988,103.609,90.62,37.035,94.401
