row_delta_threshold,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
13.0,accuracy,0.426,0.549,0.329,1.0,0.576
13.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
13.0,sparsity,0.307,0.316,0.267,0.322,0.303
13.0,time_decode_forward_total,0.723,0.689,1.033,0.737,0.796
13.0,total_avg_ms,8.743,5.571,24.948,7.925,11.797
13.0,total_benchmark_time_s,21.642,23.351,43.655,19.796,27.111
15.0,accuracy,0.507,0.528,0.375,1.0,0.603
15.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
15.0,sparsity,0.502,0.508,0.46,0.51,0.495
15.0,time_decode_forward_total,0.733,0.686,1.098,0.737,0.813
15.0,total_avg_ms,7.644,5.112,20.861,6.974,10.148
15.0,total_benchmark_time_s,20.868,24.186,40.377,19.066,26.124
17.0,accuracy,0.424,0.452,0.342,1.0,0.555
17.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
17.0,sparsity,0.659,0.668,0.628,0.667,0.656
17.0,time_decode_forward_total,0.736,0.68,1.017,0.741,0.793
17.0,total_avg_ms,6.754,4.746,17.268,6.232,8.75
17.0,total_benchmark_time_s,20.299,25.653,39.877,18.908,26.184
