row_delta_threshold,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
13.0,accuracy,0.456,0.557,0.338,1.0,0.588
13.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
13.0,sparsity,0.31,0.319,0.268,0.322,0.305
13.0,time_decode_forward_total,0.74,0.686,1.033,0.744,0.801
13.0,total_avg_ms,8.765,6.164,24.968,7.931,11.957
13.0,total_benchmark_time_s,21.833,32.013,42.708,20.243,29.199
15.0,accuracy,0.394,0.485,0.35,1.0,0.557
15.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
15.0,sparsity,0.508,0.515,0.465,0.512,0.5
15.0,time_decode_forward_total,0.734,0.676,1.035,0.747,0.798
15.0,total_avg_ms,7.629,5.101,20.775,6.97,10.119
15.0,total_benchmark_time_s,20.56,27.135,39.345,19.45,26.622
17.0,accuracy,0.36,0.533,0.327,1.0,0.555
17.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
17.0,sparsity,0.668,0.674,0.635,0.672,0.662
17.0,time_decode_forward_total,0.733,0.674,1.02,0.737,0.791
17.0,total_avg_ms,6.757,4.718,17.146,6.207,8.707
17.0,total_benchmark_time_s,20.606,25.617,37.414,18.796,25.608
