row_delta_threshold,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
13.0,accuracy,0.426,0.549,0.329,1.0,0.576
13.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
13.0,sparsity,0.307,0.316,0.267,0.322,0.303
13.0,time_decode_forward_total,0.745,0.707,1.044,0.762,0.814
13.0,total_avg_ms,8.823,5.713,25.183,7.978,11.924
13.0,total_benchmark_time_s,21.737,24.613,44.338,20.798,27.871
15.0,accuracy,0.507,0.528,0.375,1.0,0.603
15.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
15.0,sparsity,0.502,0.508,0.46,0.51,0.495
15.0,time_decode_forward_total,0.749,0.693,1.101,0.75,0.823
15.0,total_avg_ms,7.709,5.18,21.015,7.036,10.235
15.0,total_benchmark_time_s,22.128,24.424,40.727,20.242,26.88
17.0,accuracy,0.424,0.452,0.342,1.0,0.555
17.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
17.0,sparsity,0.659,0.668,0.628,0.667,0.656
17.0,time_decode_forward_total,0.745,0.685,1.019,0.749,0.8
17.0,total_avg_ms,6.822,4.83,17.487,6.292,8.858
17.0,total_benchmark_time_s,21.031,25.995,40.151,19.744,26.73
