row_delta_threshold,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
13.0,accuracy,0.396,0.409,0.302,0.775,0.47
13.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
13.0,sparsity,0.351,0.37,0.306,0.352,0.345
13.0,time_decode_forward_total,0.732,0.698,1.021,0.75,0.8
13.0,total_avg_ms,15.9,13.17,54.964,13.904,24.485
13.0,total_benchmark_time_s,29.645,35.193,64.069,25.754,38.665
15.0,accuracy,0.224,0.399,0.196,0.1,0.23
15.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
15.0,sparsity,0.583,0.574,0.537,0.555,0.562
15.0,time_decode_forward_total,0.751,0.689,1.112,0.749,0.825
15.0,total_avg_ms,13.71,7.575,45.804,12.062,19.788
15.0,total_benchmark_time_s,28.545,30.727,64.029,29.392,38.173
17.0,accuracy,0.044,0.204,0.047,0.0,0.074
17.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
17.0,sparsity,0.743,0.744,0.725,0.738,0.738
17.0,time_decode_forward_total,0.759,0.697,1.037,0.76,0.813
17.0,total_avg_ms,11.604,6.658,37.222,10.125,16.402
17.0,total_benchmark_time_s,36.561,48.283,108.331,37.996,57.793
