sanity,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
False,accuracy,0.426,0.549,0.329,1.0,0.576
False,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
False,sparsity,0.307,0.316,0.267,0.322,0.303
False,time_decode_forward_total,0.716,0.683,1.032,0.729,0.79
False,total_avg_ms,8.717,5.572,24.861,7.916,11.766
False,total_benchmark_time_s,21.479,22.897,43.683,19.747,26.951
True,accuracy,0.0,0.05,0.022,0.05,0.03
True,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
True,sparsity,0.44,0.437,0.427,0.46,0.441
True,time_decode_forward_total,0.725,0.679,0.888,0.747,0.76
True,total_avg_ms,4.615,3.836,8.283,4.38,5.279
True,total_benchmark_time_s,24.472,47.07,40.442,28.479,35.116
