Config,Metric,longbench_gov_report,Average
Baseline,accuracy,0.339,0.339
Baseline,avg_kv_compression_pct,0.0,0.0
Baseline,sparsity,0.0,0.0
Baseline,time_decode_forward_total,0.719,0.719
Baseline,total_avg_ms,16.24,16.24
Baseline,total_benchmark_time_s,3507.314,3507.314
Single_Run,accuracy,0.326,0.326
Single_Run,avg_kv_compression_pct,43.504,43.504
Single_Run,sparsity,0.501,0.501
Single_Run,time_decode_forward_total,0.614,0.614
Single_Run,total_avg_ms,8.882,8.882
Single_Run,total_benchmark_time_s,3105.286,3105.286
