row_delta_threshold,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
Baseline,accuracy,0.592,0.549,0.277,0.985,0.601
Baseline,sparsity,0.0,0.0,0.0,0.0,0.0
Baseline,total_avg_ms,17.39,11.546,55.277,16.53,25.186
Baseline,total_benchmark_time_s,221.21,205.673,603.246,202.053,308.045
14.0,accuracy,0.538,0.529,0.268,0.965,0.575
14.0,sparsity,0.401,0.397,0.352,0.401,0.388
14.0,total_avg_ms,11.555,5.287,57.166,10.597,21.151
14.0,total_benchmark_time_s,186.678,178.69,618.77,166.762,287.725
15.0,accuracy,0.556,0.504,0.272,0.95,0.57
15.0,sparsity,0.491,0.48,0.438,0.488,0.474
15.0,total_avg_ms,10.597,5.049,51.347,9.802,19.199
15.0,total_benchmark_time_s,180.916,172.669,577.508,160.178,272.818
16.0,accuracy,0.54,0.517,0.281,0.927,0.566
16.0,sparsity,0.573,0.565,0.526,0.572,0.559
16.0,total_avg_ms,9.592,4.607,45.26,8.868,17.082
16.0,total_benchmark_time_s,170.064,168.51,539.099,158.296,258.992
