row_delta_threshold,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
Baseline,accuracy,0.592,0.549,0.277,0.985,0.601
Baseline,sparsity,0.0,0.0,0.0,0.0,0.0
Baseline,total_avg_ms,17.39,11.546,55.277,16.53,25.186
Baseline,total_benchmark_time_s,221.21,205.673,603.246,202.053,308.045
14.0,accuracy,0.536,0.529,0.305,0.975,0.586
14.0,sparsity,0.399,0.396,0.352,0.401,0.387
14.0,total_avg_ms,11.369,5.156,57.062,10.457,21.011
14.0,total_benchmark_time_s,188.061,171.63,619.364,163.027,285.52
15.0,accuracy,0.548,0.505,0.284,0.945,0.571
15.0,sparsity,0.489,0.477,0.438,0.486,0.473
15.0,total_avg_ms,10.335,4.737,50.984,9.529,18.896
15.0,total_benchmark_time_s,180.699,159.753,573.515,159.21,268.294
16.0,accuracy,0.518,0.486,0.294,0.925,0.556
16.0,sparsity,0.571,0.559,0.526,0.57,0.556
16.0,total_avg_ms,9.413,4.423,45.228,8.716,16.945
16.0,total_benchmark_time_s,169.531,157.431,540.82,155.237,255.755
