row_delta_threshold,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
Baseline,accuracy,0.592,0.548,0.277,0.985,0.601
Baseline,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
Baseline,sparsity,0.0,0.0,0.0,0.0,0.0
Baseline,time_decode_forward_total,0.735,0.66,1.149,0.758,0.826
Baseline,total_avg_ms,8.366,3.694,41.246,7.713,15.255
Baseline,total_benchmark_time_s,162.25,169.749,511.741,144.576,247.079
14.0,accuracy,0.537,0.523,0.275,0.98,0.579
14.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
14.0,sparsity,0.401,0.394,0.35,0.401,0.386
14.0,time_decode_forward_total,0.76,0.67,1.138,0.766,0.833
14.0,total_avg_ms,7.767,4.92,34.006,7.29,13.496
14.0,total_benchmark_time_s,163.281,186.519,470.332,142.77,240.725
15.0,accuracy,0.535,0.505,0.266,0.975,0.57
15.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
15.0,sparsity,0.488,0.477,0.436,0.486,0.472
15.0,time_decode_forward_total,0.76,0.667,1.148,0.762,0.834
15.0,total_avg_ms,7.278,3.643,30.859,6.866,12.161
15.0,total_benchmark_time_s,160.409,162.127,443.426,139.781,226.436
16.0,accuracy,0.522,0.487,0.272,0.955,0.559
16.0,avg_kv_compression_pct,0.0,0.0,0.0,0.0,0.0
16.0,sparsity,0.571,0.557,0.523,0.568,0.555
16.0,time_decode_forward_total,0.735,0.665,1.16,0.764,0.831
16.0,total_avg_ms,6.86,3.547,27.929,6.429,11.191
16.0,total_benchmark_time_s,151.735,169.442,426.325,138.064,221.392
