row_delta_threshold,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
Baseline,accuracy,0.559,0.558,0.294,1.0,0.603
Baseline,sparsity,0.0,0.0,0.0,0.0,0.0
Baseline,total_avg_ms,17.923,11.94,56.865,17.042,25.942
Baseline,total_benchmark_time_s,113.649,117.096,304.286,104.535,159.892
13.0,accuracy,0.544,0.551,0.297,0.99,0.595
13.0,sparsity,0.287,0.301,0.253,0.305,0.287
13.0,total_avg_ms,12.513,5.468,59.675,11.389,22.261
13.0,total_benchmark_time_s,93.847,95.428,309.217,84.635,145.782
14.0,accuracy,0.516,0.525,0.251,0.99,0.571
14.0,sparsity,0.384,0.39,0.35,0.399,0.381
14.0,total_avg_ms,11.395,5.088,53.483,10.39,20.089
14.0,total_benchmark_time_s,92.689,97.425,291.953,81.132,140.8
15.0,accuracy,0.493,0.504,0.274,0.97,0.56
15.0,sparsity,0.471,0.47,0.437,0.485,0.466
15.0,total_avg_ms,10.381,4.752,47.854,9.523,18.127
15.0,total_benchmark_time_s,91.039,97.789,271.747,78.519,134.773
16.0,accuracy,0.466,0.492,0.268,0.99,0.554
16.0,sparsity,0.548,0.552,0.523,0.569,0.548
16.0,total_avg_ms,9.431,4.431,42.44,8.676,16.244
16.0,total_benchmark_time_s,83.623,95.948,256.434,76.448,128.113
17.0,accuracy,0.479,0.455,0.26,0.923,0.529
17.0,sparsity,0.618,0.619,0.596,0.638,0.618
17.0,total_avg_ms,8.638,4.155,37.786,7.986,14.641
17.0,total_benchmark_time_s,81.498,95.31,247.331,75.214,124.838
18.0,accuracy,0.43,0.466,0.25,0.85,0.499
18.0,sparsity,0.688,0.68,0.664,0.699,0.683
18.0,total_avg_ms,7.914,3.944,33.351,7.366,13.144
18.0,total_benchmark_time_s,85.837,92.374,230.476,73.406,120.523
19.0,accuracy,0.443,0.427,0.254,0.735,0.465
19.0,sparsity,0.741,0.734,0.725,0.755,0.739
19.0,total_avg_ms,7.303,3.736,29.426,6.852,11.829
19.0,total_benchmark_time_s,80.978,89.602,215.191,72.814,114.646
20.0,accuracy,0.419,0.44,0.234,0.437,0.382
20.0,sparsity,0.795,0.786,0.784,0.81,0.794
20.0,total_avg_ms,6.804,3.602,25.354,6.467,10.557
20.0,total_benchmark_time_s,82.598,99.816,201.311,83.144,116.717
