row_delta_threshold,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
Baseline,accuracy,0.559,0.558,0.294,1.0,0.603
Baseline,sparsity,0.0,0.0,0.0,0.0,0.0
Baseline,total_avg_ms,17.923,11.94,56.865,17.042,25.942
Baseline,total_benchmark_time_s,113.649,117.096,304.286,104.535,159.892
13.0,accuracy,0.51,0.517,0.281,1.0,0.577
13.0,sparsity,0.281,0.295,0.252,0.304,0.283
13.0,total_avg_ms,12.479,5.455,59.683,11.352,22.243
13.0,total_benchmark_time_s,94.562,97.972,313.808,84.483,147.706
14.0,accuracy,0.516,0.529,0.289,0.99,0.581
14.0,sparsity,0.377,0.382,0.348,0.397,0.376
14.0,total_avg_ms,11.357,5.067,53.5,10.353,20.069
14.0,total_benchmark_time_s,92.299,97.795,294.261,80.961,141.329
15.0,accuracy,0.542,0.491,0.267,0.995,0.574
15.0,sparsity,0.464,0.46,0.434,0.484,0.46
15.0,total_avg_ms,10.344,4.728,47.72,9.476,18.067
15.0,total_benchmark_time_s,91.031,95.051,271.008,79.799,134.222
16.0,accuracy,0.478,0.506,0.28,0.99,0.563
16.0,sparsity,0.54,0.536,0.521,0.568,0.541
16.0,total_avg_ms,9.382,4.409,42.306,8.635,16.183
16.0,total_benchmark_time_s,83.982,93.549,256.536,78.227,128.073
17.0,accuracy,0.493,0.477,0.26,0.96,0.547
17.0,sparsity,0.606,0.604,0.59,0.636,0.609
17.0,total_avg_ms,8.581,4.142,37.692,7.932,14.587
17.0,total_benchmark_time_s,80.436,95.71,246.341,74.4,124.222
18.0,accuracy,0.472,0.479,0.272,0.91,0.533
18.0,sparsity,0.674,0.665,0.661,0.698,0.674
18.0,total_avg_ms,7.849,3.904,33.274,7.296,13.081
18.0,total_benchmark_time_s,82.541,88.272,227.553,71.846,117.553
19.0,accuracy,0.426,0.446,0.255,0.795,0.48
19.0,sparsity,0.729,0.714,0.72,0.755,0.729
19.0,total_avg_ms,7.242,3.703,29.252,6.77,11.742
19.0,total_benchmark_time_s,85.822,87.706,216.321,71.308,115.289
20.0,accuracy,0.386,0.449,0.251,0.486,0.393
20.0,sparsity,0.783,0.763,0.78,0.807,0.783
20.0,total_avg_ms,6.705,3.532,25.143,6.335,10.429
20.0,total_benchmark_time_s,87.995,95.446,202.099,83.554,117.274
